train_loss,train_elbo_loss,epoch,step
0.37291350960731506,0.37291350960731506,0,127
0.19107969105243683,0.19107969105243683,1,255
0.17130818963050842,0.17130818963050842,2,383
0.15616700053215027,0.15616700053215027,3,511
0.14679333567619324,0.14679333567619324,4,639
0.1410481482744217,0.1410481482744217,5,767
0.13708902895450592,0.13708902895450592,6,895
