train_loss_step,epoch,step,train_loss_epoch,val_NRMSE_main_model,val_MSE_main_model,val_ND_main_model,val_CRPS_main_model,test_NRMSE_main_model,test_MSE_main_model,test_ND_main_model,test_CRPS_main_model
11.644259452819824,0,49,,,,,,,,,
,0,63,1.452657699584961,,,,,,,,
0.10249418020248413,1,99,,,,,,,,,
,1,127,0.46147024631500244,,,,,,,,
0.28698816895484924,2,149,,,,,,,,,
,2,191,1.8890323638916016,,,,,,,,
0.23480205237865448,3,199,,,,,,,,,
0.18435245752334595,3,249,,,,,,,,,
,3,255,0.23955723643302917,,,,,,,,
0.10850614309310913,4,299,,,,,,,,,
,4,319,0.5414943695068359,,,,,,,,
0.3049405515193939,5,349,,,,,,,,,
,5,383,0.23730504512786865,,,,,,,,
0.10651637613773346,6,399,,,,,,,,,
,6,447,0.29362303018569946,,,,,,,,
0.06679733097553253,7,449,,,,,,,,,
0.04043842852115631,7,499,,,,,,,,,
,7,511,0.8285853862762451,,,,,,,,
0.1709311306476593,8,549,,,,,,,,,
,8,575,0.418246328830719,,,,,,,,
0.09726699441671371,9,599,,,,,,,,,
,9,639,0.4053998589515686,,,,,,,,
0.09550771117210388,10,649,,,,,,,,,
0.05116733908653259,10,699,,,,,,,,,
,10,703,1.6185388565063477,,,,,,,,
0.19375315308570862,11,749,,,,,,,,,
,11,767,0.359708309173584,,,,,,,,
0.02691669389605522,12,799,,,,,,,,,
,12,831,7.177157402038574,,,,,,,,
0.09180688112974167,13,849,,,,,,,,,
,13,895,0.8032728433609009,,,,,,,,
0.11212562769651413,14,899,,,,,,,,,
0.13639691472053528,14,949,,,,,,,,,
,14,959,1.1243562698364258,,,,,,,,
0.046853628009557724,15,999,,,,,,,,,
,15,1023,0.11508986353874207,,,,,,,,
0.1121307760477066,16,1049,,,,,,,,,
,16,1087,4.755749225616455,,,,,,,,
0.030642474070191383,17,1099,,,,,,,,,
0.06206764280796051,17,1149,,,,,,,,,
,17,1151,8.183609962463379,,,,,,,,
0.029644059017300606,18,1199,,,,,,,,,
,18,1215,0.3950001001358032,,,,,,,,
0.29270362854003906,19,1249,,,,,,,,,
,19,1279,0.7472836971282959,inf,5.87763970927782e-22,inf,inf,inf,5.912171966565263e-22,inf,inf
0.01764916069805622,20,1299,,,,,,,,,
,20,1343,0.5967788696289062,,,,,,,,
0.04310307651758194,21,1349,,,,,,,,,
0.04832085594534874,21,1399,,,,,,,,,
,21,1407,0.13063645362854004,,,,,,,,
0.02617693692445755,22,1449,,,,,,,,,
,22,1471,0.25308123230934143,,,,,,,,
0.018553676083683968,23,1499,,,,,,,,,
,23,1535,0.5815259218215942,,,,,,,,
0.051552701741456985,24,1549,,,,,,,,,
0.08827590197324753,24,1599,,,,,,,,,
,24,1599,0.43649858236312866,,,,,,,,
0.13182967901229858,25,1649,,,,,,,,,
,25,1663,0.21902717649936676,,,,,,,,
0.02442150004208088,26,1699,,,,,,,,,
,26,1727,0.42300546169281006,,,,,,,,
0.07669312506914139,27,1749,,,,,,,,,
,27,1791,1.5792254209518433,,,,,,,,
0.010148424655199051,28,1799,,,,,,,,,
0.01382517907768488,28,1849,,,,,,,,,
,28,1855,8.135818481445312,,,,,,,,
0.05167416110634804,29,1899,,,,,,,,,
,29,1919,17.782453536987305,,,,,,,,
0.015274390578269958,30,1949,,,,,,,,,
,30,1983,0.19937291741371155,,,,,,,,
0.06970804929733276,31,1999,,,,,,,,,
,31,2047,0.12752586603164673,,,,,,,,
0.033724695444107056,32,2049,,,,,,,,,
4.890566825866699,32,2099,,,,,,,,,
,32,2111,0.15120942890644073,,,,,,,,
0.21765917539596558,33,2149,,,,,,,,,
,33,2175,0.4738326668739319,,,,,,,,
0.04921961575746536,34,2199,,,,,,,,,
,34,2239,0.20639848709106445,,,,,,,,
0.02015344612300396,35,2249,,,,,,,,,
0.01747063547372818,35,2299,,,,,,,,,
,35,2303,14.748042106628418,,,,,,,,
0.11780571192502975,36,2349,,,,,,,,,
,36,2367,0.3171761631965637,,,,,,,,
0.04357139393687248,37,2399,,,,,,,,,
,37,2431,0.07583480328321457,,,,,,,,
0.01360771618783474,38,2449,,,,,,,,,
,38,2495,0.333134263753891,,,,,,,,
0.0188173558562994,39,2499,,,,,,,,,
0.011717553250491619,39,2549,,,,,,,,,
,39,2559,0.18603262305259705,inf,3.4119417661675715e-23,inf,inf,inf,3.246119951961827e-23,inf,inf
0.017182571813464165,40,2599,,,,,,,,,
,40,2623,0.25736701488494873,,,,,,,,
0.03918380290269852,41,2649,,,,,,,,,
,41,2687,0.07498393207788467,,,,,,,,
0.08371709287166595,42,2699,,,,,,,,,
0.0180047620087862,42,2749,,,,,,,,,
,42,2751,0.053780753165483475,,,,,,,,
0.5890647172927856,43,2799,,,,,,,,,
,43,2815,0.11518560349941254,,,,,,,,
0.0567401759326458,44,2849,,,,,,,,,
,44,2879,0.12546491622924805,,,,,,,,
0.013800710439682007,45,2899,,,,,,,,,
,45,2943,17.426340103149414,,,,,,,,
0.016771424561738968,46,2949,,,,,,,,,
0.017377570271492004,46,2999,,,,,,,,,
,46,3007,0.879306435585022,,,,,,,,
0.09182921051979065,47,3049,,,,,,,,,
,47,3071,0.3430050015449524,,,,,,,,
0.016973396763205528,48,3099,,,,,,,,,
