train_loss_step,epoch,step,train_loss_epoch,val_MSE_main_model,val_CRPS_main_model,val_ND_main_model,val_NRMSE_main_model,test_MSE_main_model,test_CRPS_main_model,test_ND_main_model,test_NRMSE_main_model
1.0040735006332397,0,0,,,,,,,,,
0.4690537750720978,0,1,,,,,,,,,
0.6416381001472473,0,2,,,,,,,,,
0.3588070869445801,0,3,,,,,,,,,
0.35013988614082336,0,4,,,,,,,,,
0.4971638321876526,0,5,,,,,,,,,
0.46299487352371216,0,6,,,,,,,,,
0.23622362315654755,0,7,,,,,,,,,
0.5699281692504883,0,8,,,,,,,,,
0.2693617045879364,0,9,,,,,,,,,
0.6970107555389404,0,10,,,,,,,,,
0.27792516350746155,0,11,,,,,,,,,
0.39334407448768616,0,12,,,,,,,,,
0.36934420466423035,0,13,,,,,,,,,
0.3470771014690399,0,14,,,,,,,,,
2.6619911193847656,0,15,,,,,,,,,
0.2599943280220032,0,16,,,,,,,,,
5.602252960205078,0,17,,,,,,,,,
1.8545773029327393,0,18,,,,,,,,,
0.37510257959365845,0,19,,,,,,,,,
0.30597007274627686,0,20,,,,,,,,,
0.2865491807460785,0,21,,,,,,,,,
0.3536590039730072,0,22,,,,,,,,,
0.45984312891960144,0,23,,,,,,,,,
0.48372331261634827,0,24,,,,,,,,,
3.841176748275757,0,25,,,,,,,,,
0.28650009632110596,0,26,,,,,,,,,
0.38216912746429443,0,27,,,,,,,,,
0.2543228268623352,0,28,,,,,,,,,
0.25722700357437134,0,29,,,,,,,,,
0.2727811634540558,0,30,,,,,,,,,
0.23267967998981476,0,31,,,,,,,,,
0.24330732226371765,0,32,,,,,,,,,
0.24073731899261475,0,33,,,,,,,,,
0.15826530754566193,0,34,,,,,,,,,
0.34449899196624756,0,35,,,,,,,,,
0.6870940923690796,0,36,,,,,,,,,
0.26405665278434753,0,37,,,,,,,,,
0.160364031791687,0,38,,,,,,,,,
0.42462727427482605,0,39,,,,,,,,,
0.439434677362442,0,40,,,,,,,,,
0.3936883807182312,0,41,,,,,,,,,
0.1856818050146103,0,42,,,,,,,,,
0.23205339908599854,0,43,,,,,,,,,
0.0866740420460701,0,44,,,,,,,,,
0.1762249767780304,0,45,,,,,,,,,
0.09349852055311203,0,46,,,,,,,,,
10.442012786865234,0,47,,,,,,,,,
0.27808040380477905,0,48,,,,,,,,,
0.7396826148033142,0,49,,,,,,,,,
0.4750107526779175,0,50,,,,,,,,,
0.17546620965003967,0,51,,,,,,,,,
2.488086700439453,0,52,,,,,,,,,
0.8149442672729492,0,53,,,,,,,,,
0.21362356841564178,0,54,,,,,,,,,
0.16593924164772034,0,55,,,,,,,,,
3.473546266555786,0,56,,,,,,,,,
0.17569266259670258,0,57,,,,,,,,,
0.41215336322784424,0,58,,,,,,,,,
0.827960193157196,0,59,,,,,,,,,
0.27793774008750916,0,60,,,,,,,,,
0.27095669507980347,0,61,,,,,,,,,
0.2643372118473053,0,62,,,,,,,,,
0.2270597666501999,0,63,,,,,,,,,
,0,63,0.7963640689849854,,,,,,,,
0.31499814987182617,1,64,,,,,,,,,
0.16706575453281403,1,65,,,,,,,,,
0.18947850167751312,1,66,,,,,,,,,
0.24802328646183014,1,67,,,,,,,,,
0.21837687492370605,1,68,,,,,,,,,
0.14806059002876282,1,69,,,,,,,,,
0.21491815149784088,1,70,,,,,,,,,
0.13993723690509796,1,71,,,,,,,,,
0.11406764388084412,1,72,,,,,,,,,
0.1663099229335785,1,73,,,,,,,,,
72.95043182373047,1,74,,,,,,,,,
0.1736256331205368,1,75,,,,,,,,,
0.38340380787849426,1,76,,,,,,,,,
0.29021120071411133,1,77,,,,,,,,,
0.17340417206287384,1,78,,,,,,,,,
0.29977503418922424,1,79,,,,,,,,,
0.28556790947914124,1,80,,,,,,,,,
0.3547174036502838,1,81,,,,,,,,,
0.15910060703754425,1,82,,,,,,,,,
0.2459656149148941,1,83,,,,,,,,,
0.18320900201797485,1,84,,,,,,,,,
0.17159025371074677,1,85,,,,,,,,,
0.22993145883083344,1,86,,,,,,,,,
0.24240408837795258,1,87,,,,,,,,,
0.26766344904899597,1,88,,,,,,,,,
0.18666255474090576,1,89,,,,,,,,,
0.288979172706604,1,90,,,,,,,,,
0.9513689875602722,1,91,,,,,,,,,
0.0881037786602974,1,92,,,,,,,,,
0.07433217763900757,1,93,,,,,,,,,
0.2178986370563507,1,94,,,,,,,,,
0.2764456570148468,1,95,,,,,,,,,
0.1497221738100052,1,96,,,,,,,,,
0.18006068468093872,1,97,,,,,,,,,
0.2110753059387207,1,98,,,,,,,,,
0.188386932015419,1,99,,,,,,,,,
0.2524091899394989,1,100,,,,,,,,,
0.19843325018882751,1,101,,,,,,,,,
1.1559882164001465,1,102,,,,,,,,,
0.10719539225101471,1,103,,,,,,,,,
0.39260488748550415,1,104,,,,,,,,,
0.15219652652740479,1,105,,,,,,,,,
0.18600672483444214,1,106,,,,,,,,,
0.16649141907691956,1,107,,,,,,,,,
0.10729993134737015,1,108,,,,,,,,,
0.1896747648715973,1,109,,,,,,,,,
0.11764147132635117,1,110,,,,,,,,,
0.24429289996623993,1,111,,,,,,,,,
0.5649150609970093,1,112,,,,,,,,,
0.12024194002151489,1,113,,,,,,,,,
0.8111968636512756,1,114,,,,,,,,,
1.5634509325027466,1,115,,,,,,,,,
0.23645904660224915,1,116,,,,,,,,,
0.14757175743579865,1,117,,,,,,,,,
0.22707509994506836,1,118,,,,,,,,,
0.3507140278816223,1,119,,,,,,,,,
1.1568832397460938,1,120,,,,,,,,,
0.18705905973911285,1,121,,,,,,,,,
0.3590468466281891,1,122,,,,,,,,,
0.12568260729312897,1,123,,,,,,,,,
0.15730176866054535,1,124,,,,,,,,,
0.40081629157066345,1,125,,,,,,,,,
0.2748892307281494,1,126,,,,,,,,,
0.31872162222862244,1,127,,,,,,,,,
,1,127,1.4283989667892456,,,,,,,,
0.12389875203371048,2,128,,,,,,,,,
0.2249680906534195,2,129,,,,,,,,,
0.1345558762550354,2,130,,,,,,,,,
0.16680416464805603,2,131,,,,,,,,,
0.12064869701862335,2,132,,,,,,,,,
0.3321183919906616,2,133,,,,,,,,,
0.15326112508773804,2,134,,,,,,,,,
0.16472521424293518,2,135,,,,,,,,,
0.1713734269142151,2,136,,,,,,,,,
0.3143171966075897,2,137,,,,,,,,,
0.10558333992958069,2,138,,,,,,,,,
0.22069428861141205,2,139,,,,,,,,,
0.10467234998941422,2,140,,,,,,,,,
0.24271750450134277,2,141,,,,,,,,,
0.4330941438674927,2,142,,,,,,,,,
0.210249125957489,2,143,,,,,,,,,
0.6811093688011169,2,144,,,,,,,,,
0.15216182172298431,2,145,,,,,,,,,
0.09403742849826813,2,146,,,,,,,,,
3.410946846008301,2,147,,,,,,,,,
0.22799541056156158,2,148,,,,,,,,,
